time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_executeLatency (ms),bolt_executed (messages),capacity
1,0,1.0922e+06,0,5.4614e+05,0.256,5.4612e+05,0.013,0.182,5.4612e+05,0.01
3,0,1.0922e+06,0,5.4614e+05,0.256,5.4612e+05,0.013,0.182,5.4612e+05,0.01
4,0,1.0922e+06,0,5.4614e+05,0.256,5.4612e+05,0.013,0.182,5.4612e+05,0.01
6,0,1.0928e+06,0,5.464e+05,0.256,5.4642e+05,0.013,0.182,5.4644e+05,0.01
7,0,1.0934e+06,0,5.4678e+05,0.256,5.4674e+05,0.013,0.182,5.4674e+05,0.01
9,0,1.0934e+06,0,5.4678e+05,0.256,5.4674e+05,0.013,0.182,5.4674e+05,0.01
11,0,1.094e+06,0,5.4702e+05,0.256,5.4704e+05,0.013,0.181,5.4706e+05,0.01
12,0,1.094e+06,0,5.4702e+05,0.256,5.4704e+05,0.013,0.181,5.4706e+05,0.01
13,0,1.0947e+06,0,5.474e+05,0.256,5.4734e+05,0.013,0.181,5.4736e+05,0.01
15,0,1.0947e+06,0,5.474e+05,0.256,5.4734e+05,0.013,0.181,5.4736e+05,0.01
16,0,1.0947e+06,0,5.474e+05,0.256,5.4734e+05,0.013,0.181,5.4736e+05,0.01
18,0,1.0952e+06,0,5.4766e+05,0.256,5.4766e+05,0.013,0.181,5.4766e+05,0.011
19,0,1.0952e+06,0,5.4766e+05,0.256,5.4766e+05,0.013,0.181,5.4766e+05,0.011
20,0,1.0958e+06,0,5.4794e+05,0.256,5.4796e+05,0.013,0.182,5.4796e+05,0.011
22,0,1.0958e+06,0,5.4794e+05,0.256,5.4796e+05,0.013,0.182,5.4796e+05,0.011
23,0,1.0965e+06,0,5.483e+05,0.256,5.4826e+05,0.013,0.182,5.4826e+05,0.01
24,0,1.0971e+06,0,5.4862e+05,0.256,5.4856e+05,0.013,0.182,5.4858e+05,0.01
28,0,1.0971e+06,0,5.4862e+05,0.256,5.4856e+05,0.013,0.182,5.4858e+05,0.01
29,0,1.0977e+06,0,5.489e+05,0.256,5.4886e+05,0.013,0.182,5.4888e+05,0.01
31,0,1.0977e+06,0,5.489e+05,0.256,5.4886e+05,0.013,0.182,5.4888e+05,0.01
32,0,1.0983e+06,0,5.4916e+05,0.256,5.4918e+05,0.013,0.181,5.4916e+05,0.01
33,0,1.0983e+06,0,5.4916e+05,0.256,5.4918e+05,0.013,0.181,5.4916e+05,0.01
35,0,1.0989e+06,0,5.495e+05,0.256,5.4946e+05,0.013,0.181,5.4946e+05,0.01
36,0,1.0989e+06,0,5.495e+05,0.256,5.4946e+05,0.013,0.181,5.4946e+05,0.01
38,0,1.0989e+06,0,5.495e+05,0.256,5.4946e+05,0.013,0.181,5.4946e+05,0.01
39,0,1.0995e+06,0,5.4978e+05,0.256,5.4978e+05,0.013,0.181,5.4976e+05,0.01
40,0,1.0995e+06,0,5.4978e+05,0.256,5.4978e+05,0.013,0.181,5.4976e+05,0.01
42,0,1.1002e+06,0,5.5014e+05,0.256,5.5008e+05,0.013,0.181,5.5006e+05,0.01
44,0,1.1002e+06,0,5.5014e+05,0.256,5.5008e+05,0.013,0.181,5.5006e+05,0.01
45,0,1.1007e+06,0,5.504e+05,0.256,5.5038e+05,0.013,0.182,5.5038e+05,0.01
46,0,1.1007e+06,0,5.504e+05,0.256,5.5038e+05,0.013,0.182,5.5038e+05,0.01
48,0,1.1014e+06,0,5.5072e+05,0.256,5.5068e+05,0.013,0.182,5.507e+05,0.01
49,0,1.1014e+06,0,5.5072e+05,0.256,5.5068e+05,0.013,0.182,5.507e+05,0.01
51,0,1.1019e+06,0,5.51e+05,0.256,5.5098e+05,0.013,0.182,5.5098e+05,0.011
52,0,1.1024e+06,0,5.5124e+05,0.256,5.5118e+05,0.013,0.182,5.5114e+05,0.011
55,0,1.1025e+06,0,5.513e+05,0.256,5.5128e+05,0.013,0.182,5.5128e+05,0.01
56,0,1.1025e+06,0,5.513e+05,0.256,5.5128e+05,0.013,0.182,5.5128e+05,0.01
57,0,1.1031e+06,0,5.516e+05,0.256,5.5158e+05,0.013,0.182,5.516e+05,0.01
59,0,1.1031e+06,0,5.516e+05,0.256,5.5158e+05,0.013,0.182,5.516e+05,0.01
60,0,1.1037e+06,0,5.5186e+05,0.256,5.5188e+05,0.013,0.182,5.5192e+05,0.01
61,0,1.1037e+06,0,5.5186e+05,0.256,5.5188e+05,0.013,0.182,5.5192e+05,0.01
63,0,1.1043e+06,0,5.522e+05,0.256,5.522e+05,0.013,0.182,5.522e+05,0.01
64,0,1.1043e+06,0,5.522e+05,0.256,5.522e+05,0.013,0.182,5.522e+05,0.01
65,0,1.1045e+06,0,5.523e+05,0.256,5.523e+05,0.013,0.182,5.5236e+05,0.01
67,0,1.1049e+06,0,5.5248e+05,0.256,5.5252e+05,0.013,0.181,5.5252e+05,0.01
68,0,1.1049e+06,0,5.5248e+05,0.256,5.5252e+05,0.013,0.181,5.5252e+05,0.01
69,0,1.1056e+06,0,5.5288e+05,0.256,5.5282e+05,0.013,0.181,5.528e+05,0.01
71,0,1.1056e+06,0,5.5288e+05,0.256,5.5282e+05,0.013,0.181,5.528e+05,0.01
72,0,1.1062e+06,0,5.5316e+05,0.256,5.5314e+05,0.013,0.181,5.5314e+05,0.01
74,0,1.1062e+06,0,5.5316e+05,0.256,5.5314e+05,0.013,0.181,5.5314e+05,0.01
75,0,1.1069e+06,0,5.5346e+05,0.256,5.5346e+05,0.013,0.181,5.5346e+05,0.01
77,0,1.1069e+06,0,5.5346e+05,0.256,5.5346e+05,0.013,0.181,5.5346e+05,0.01
79,0,1.1075e+06,0,5.5378e+05,0.256,5.5374e+05,0.013,0.181,5.5376e+05,0.01
80,0,1.1075e+06,0,5.5378e+05,0.256,5.5374e+05,0.013,0.181,5.5376e+05,0.01
81,0,1.1081e+06,0,5.5412e+05,0.256,5.5406e+05,0.013,0.181,5.5408e+05,0.01
83,0,1.1081e+06,0,5.5412e+05,0.256,5.5406e+05,0.013,0.181,5.5408e+05,0.01
84,0,1.1087e+06,0,5.544e+05,0.256,5.5436e+05,0.013,0.181,5.5438e+05,0.01
86,0,1.1087e+06,0,5.544e+05,0.256,5.5436e+05,0.013,0.181,5.5438e+05,0.01
88,0,1.1093e+06,0,5.5468e+05,0.256,5.547e+05,0.013,0.181,5.547e+05,0.01
90,0,1.1093e+06,0,5.5468e+05,0.256,5.547e+05,0.013,0.181,5.547e+05,0.01
91,0,1.11e+06,0,5.5502e+05,0.256,5.55e+05,0.013,0.181,5.5498e+05,0.01
92,0,1.11e+06,0,5.5502e+05,0.256,5.55e+05,0.013,0.181,5.5498e+05,0.01
94,0,1.1106e+06,0,5.5536e+05,0.256,5.5532e+05,0.013,0.181,5.553e+05,0.01
96,0,1.1106e+06,0,5.5536e+05,0.256,5.5532e+05,0.013,0.181,5.553e+05,0.01
97,0,1.1106e+06,0,5.5536e+05,0.256,5.5532e+05,0.013,0.181,5.553e+05,0.01
98,0,1.1113e+06,0,5.5568e+05,0.256,5.5564e+05,0.013,0.181,5.5566e+05,0.01
100,0,1.1113e+06,0,5.5568e+05,0.256,5.5564e+05,0.013,0.181,5.5566e+05,0.01
101,0,1.1118e+06,0,5.5594e+05,0.256,5.5596e+05,0.013,0.181,5.5596e+05,0.01
102,0,1.1118e+06,0,5.5594e+05,0.256,5.5596e+05,0.013,0.181,5.5596e+05,0.01
103,0,1.1118e+06,0,5.5594e+05,0.256,5.5596e+05,0.013,0.181,5.5596e+05,0.01
105,0,1.1125e+06,0,5.5624e+05,0.256,5.5626e+05,0.013,0.181,5.5626e+05,0.01
106,0,1.1125e+06,0,5.5624e+05,0.256,5.5626e+05,0.013,0.181,5.5626e+05,0.01
107,0,1.1131e+06,0,5.5662e+05,0.256,5.5656e+05,0.014,0.181,5.5656e+05,0.01
109,0,1.1131e+06,0,5.5662e+05,0.256,5.5656e+05,0.014,0.181,5.5656e+05,0.01
110,0,1.1137e+06,0,5.5688e+05,0.256,5.5686e+05,0.014,0.181,5.5686e+05,0.01
111,0,1.1137e+06,0,5.5688e+05,0.256,5.5686e+05,0.014,0.181,5.5686e+05,0.01
114,0,1.1143e+06,0,5.572e+05,0.256,5.572e+05,0.013,0.181,5.5718e+05,0.01
115,0,1.1143e+06,0,5.572e+05,0.256,5.572e+05,0.013,0.181,5.5718e+05,0.01
116,0,1.115e+06,0,5.5754e+05,0.256,5.5748e+05,0.013,0.181,5.5748e+05,0.01
118,0,1.115e+06,0,5.5754e+05,0.256,5.5748e+05,0.013,0.181,5.5748e+05,0.01
119,0,1.1155e+06,0,5.5782e+05,0.256,5.5778e+05,0.013,0.181,5.5778e+05,0.01
121,0,1.1155e+06,0,5.5782e+05,0.256,5.5778e+05,0.013,0.181,5.5778e+05,0.01
122,0,1.1161e+06,0,5.5812e+05,0.256,5.5808e+05,0.014,0.181,5.581e+05,0.01
124,0,1.1161e+06,0,5.5812e+05,0.256,5.5808e+05,0.014,0.181,5.581e+05,0.01
125,0,1.1167e+06,0,5.584e+05,0.256,5.5842e+05,0.014,0.181,5.584e+05,0.01
128,0,1.1167e+06,0,5.584e+05,0.256,5.5842e+05,0.014,0.181,5.584e+05,0.01
129,0,1.1175e+06,0,5.5878e+05,0.256,5.5876e+05,0.014,0.181,5.5872e+05,0.01
131,0,1.1175e+06,0,5.5878e+05,0.256,5.5876e+05,0.014,0.181,5.5872e+05,0.01
132,0,1.1181e+06,0,5.5908e+05,0.256,5.5904e+05,0.014,0.181,5.5904e+05,0.01
133,0,1.1181e+06,0,5.5908e+05,0.256,5.5904e+05,0.014,0.181,5.5904e+05,0.01
135,0,1.1187e+06,0,5.5938e+05,0.256,5.5936e+05,0.014,0.181,5.5936e+05,0.01
136,0,1.1187e+06,0,5.5938e+05,0.256,5.5936e+05,0.014,0.181,5.5936e+05,0.01
138,0,1.1187e+06,0,5.5938e+05,0.256,5.5936e+05,0.014,0.181,5.5936e+05,0.01
139,0,1.1192e+06,0,5.5964e+05,0.256,5.5966e+05,0.014,0.181,5.5966e+05,0.01
140,0,1.1192e+06,0,5.5964e+05,0.256,5.5966e+05,0.014,0.181,5.5966e+05,0.01
142,0,1.1198e+06,0,5.5994e+05,0.256,5.5998e+05,0.014,0.181,5.5996e+05,0.01
143,0,1.1198e+06,0,5.5994e+05,0.256,5.5998e+05,0.014,0.181,5.5996e+05,0.01
144,0,1.1205e+06,0,5.6026e+05,0.256,5.6024e+05,0.013,0.181,5.6028e+05,0.01
146,0,1.1205e+06,0,5.6026e+05,0.256,5.6024e+05,0.013,0.181,5.6028e+05,0.01
147,0,1.1211e+06,0,5.606e+05,0.256,5.6058e+05,0.013,0.181,5.6058e+05,0.01
149,0,1.1211e+06,0,5.606e+05,0.256,5.6058e+05,0.013,0.181,5.6058e+05,0.01
150,0,1.1213e+06,0,5.6068e+05,0.256,5.6068e+05,0.013,0.181,5.6074e+05,0.01
151,0,1.1217e+06,0,5.6092e+05,0.256,5.609e+05,0.014,0.181,5.6088e+05,0.01
153,0,1.1222e+06,0,5.6116e+05,0.256,5.6108e+05,0.014,0.181,5.6102e+05,0.01
154,0,1.1224e+06,0,5.6126e+05,0.256,5.6118e+05,0.014,0.181,5.6118e+05,0.01
156,0,1.1224e+06,0,5.6126e+05,0.256,5.6118e+05,0.014,0.181,5.6118e+05,0.01
157,0,1.1229e+06,0,5.615e+05,0.256,5.6148e+05,0.014,0.181,5.6148e+05,0.01
158,0,1.1229e+06,0,5.615e+05,0.256,5.6148e+05,0.014,0.181,5.6148e+05,0.01
160,0,1.1235e+06,0,5.618e+05,0.256,5.618e+05,0.014,0.181,5.6178e+05,0.01
161,0,1.1241e+06,0,5.621e+05,0.256,5.621e+05,0.014,0.181,5.6206e+05,0.01
164,0,1.1241e+06,0,5.621e+05,0.256,5.621e+05,0.014,0.181,5.6206e+05,0.01
165,0,1.1241e+06,0,5.621e+05,0.256,5.621e+05,0.014,0.181,5.6206e+05,0.01
167,0,1.1248e+06,0,5.6244e+05,0.256,5.6242e+05,0.014,0.181,5.6242e+05,0.01
168,0,1.1248e+06,0,5.6244e+05,0.256,5.6242e+05,0.014,0.181,5.6242e+05,0.01
169,0,1.1254e+06,0,5.6278e+05,0.256,5.627e+05,0.014,0.181,5.6272e+05,0.01
171,0,1.1254e+06,0,5.6278e+05,0.256,5.627e+05,0.014,0.181,5.6272e+05,0.01
172,0,1.126e+06,0,5.6306e+05,0.256,5.6302e+05,0.013,0.181,5.6302e+05,0.01
173,0,1.126e+06,0,5.6306e+05,0.256,5.6302e+05,0.013,0.181,5.6302e+05,0.01
175,0,1.126e+06,0,5.6306e+05,0.256,5.6302e+05,0.013,0.181,5.6302e+05,0.01
176,0,1.1266e+06,0,5.6334e+05,0.256,5.633e+05,0.013,0.181,5.6334e+05,0.01
177,0,1.1266e+06,0,5.6334e+05,0.256,5.633e+05,0.013,0.181,5.6334e+05,0.01
179,0,1.1273e+06,0,5.6372e+05,0.256,5.6362e+05,0.013,0.181,5.6364e+05,0.01
180,0,1.1273e+06,0,5.6372e+05,0.256,5.6362e+05,0.013,0.181,5.6364e+05,0.01
182,0,1.1278e+06,0,5.6392e+05,0.256,5.6392e+05,0.013,0.181,5.6392e+05,0.01
183,0,1.1278e+06,0,5.6392e+05,0.256,5.6392e+05,0.013,0.181,5.6392e+05,0.01
184,0,1.1285e+06,0,5.6432e+05,0.256,5.6422e+05,0.013,0.181,5.6424e+05,0.01
186,0,1.1285e+06,0,5.6432e+05,0.256,5.6422e+05,0.013,0.181,5.6424e+05,0.01
187,0,1.1285e+06,0,5.6432e+05,0.256,5.6422e+05,0.013,0.181,5.6424e+05,0.01
188,0,1.129e+06,0,5.6452e+05,0.256,5.6454e+05,0.013,0.181,5.6454e+05,0.01
190,0,1.129e+06,0,5.6452e+05,0.256,5.6454e+05,0.013,0.181,5.6454e+05,0.01
194,0,1.1302e+06,0,5.6516e+05,0.256,5.6514e+05,0.014,0.181,5.6514e+05,0.01
196,0,1.1302e+06,0,5.6516e+05,0.256,5.6514e+05,0.014,0.181,5.6514e+05,0.01
197,0,1.1308e+06,0,5.6544e+05,0.256,5.6544e+05,0.014,0.181,5.6546e+05,0.01
198,0,1.1308e+06,0,5.6544e+05,0.256,5.6544e+05,0.014,0.181,5.6546e+05,0.01
200,0,1.1315e+06,0,5.6578e+05,0.256,5.6574e+05,0.014,0.181,5.6574e+05,0.01
201,0,1.1315e+06,0,5.6578e+05,0.256,5.6574e+05,0.014,0.181,5.6574e+05,0.01
202,0,1.1315e+06,0,5.6578e+05,0.256,5.6574e+05,0.014,0.181,5.6574e+05,0.01
204,0,1.132e+06,0,5.6608e+05,0.256,5.6606e+05,0.013,0.181,5.6606e+05,0.01
205,0,1.1327e+06,0,5.6638e+05,0.255,5.6636e+05,0.013,0.181,5.6636e+05,0.01
207,0,1.1327e+06,0,5.6638e+05,0.255,5.6636e+05,0.013,0.181,5.6636e+05,0.01
209,0,1.1333e+06,0,5.6668e+05,0.255,5.6668e+05,0.013,0.181,5.6664e+05,0.01
210,0,1.1333e+06,0,5.6668e+05,0.255,5.6668e+05,0.013,0.181,5.6664e+05,0.01
212,0,1.1339e+06,0,5.6698e+05,0.255,5.6698e+05,0.013,0.181,5.6696e+05,0.01
213,0,1.1339e+06,0,5.6698e+05,0.255,5.6698e+05,0.013,0.181,5.6696e+05,0.01
215,0,1.1339e+06,0,5.6698e+05,0.255,5.6698e+05,0.013,0.181,5.6696e+05,0.01
216,0,1.1345e+06,0,5.6728e+05,0.255,5.6726e+05,0.013,0.181,5.6726e+05,0.01
217,0,1.1345e+06,0,5.6728e+05,0.255,5.6726e+05,0.013,0.181,5.6726e+05,0.01
219,0,1.1351e+06,0,5.6758e+05,0.255,5.6758e+05,0.013,0.181,5.6758e+05,0.01
221,0,1.1357e+06,0,5.6788e+05,0.255,5.6788e+05,0.013,0.181,5.6784e+05,0.01
223,0,1.1357e+06,0,5.6788e+05,0.255,5.6788e+05,0.013,0.181,5.6784e+05,0.01
224,0,1.1357e+06,0,5.6788e+05,0.255,5.6788e+05,0.013,0.181,5.6784e+05,0.01
225,0,1.1363e+06,0,5.682e+05,0.255,5.6816e+05,0.013,0.181,5.6818e+05,0.01
226,0,1.1363e+06,0,5.682e+05,0.255,5.6816e+05,0.013,0.181,5.6818e+05,0.01
228,0,1.1369e+06,0,5.6848e+05,0.256,5.6846e+05,0.013,0.181,5.6844e+05,0.01
229,0,1.1369e+06,0,5.6848e+05,0.256,5.6846e+05,0.013,0.181,5.6844e+05,0.01
230,0,1.1376e+06,0,5.6882e+05,0.256,5.6878e+05,0.013,0.181,5.6876e+05,0.01
232,0,1.1376e+06,0,5.6882e+05,0.256,5.6878e+05,0.013,0.181,5.6876e+05,0.01
233,0,1.1381e+06,0,5.6912e+05,0.256,5.691e+05,0.013,0.181,5.691e+05,0.009
235,0,1.1381e+06,0,5.6912e+05,0.256,5.691e+05,0.013,0.181,5.691e+05,0.009
236,0,1.1383e+06,0,5.6922e+05,0.256,5.692e+05,0.013,0.181,5.6924e+05,0.009
238,0,1.1387e+06,0,5.694e+05,0.256,5.694e+05,0.013,0.181,5.6938e+05,0.01
239,0,1.1387e+06,0,5.694e+05,0.256,5.694e+05,0.013,0.181,5.6938e+05,0.01
240,0,1.1394e+06,0,5.6976e+05,0.256,5.697e+05,0.013,0.181,5.697e+05,0.01
242,0,1.1394e+06,0,5.6976e+05,0.256,5.697e+05,0.013,0.181,5.697e+05,0.01
243,0,1.14e+06,0,5.7002e+05,0.256,5.7e+05,0.013,0.181,5.6998e+05,0.01
245,0,1.14e+06,0,5.7002e+05,0.256,5.7e+05,0.013,0.181,5.6998e+05,0.01
246,0,1.1406e+06,0,5.7032e+05,0.256,5.7034e+05,0.013,0.181,5.7034e+05,0.01
247,0,1.1406e+06,0,5.7032e+05,0.256,5.7034e+05,0.013,0.181,5.7034e+05,0.01
249,0,1.1412e+06,0,5.7066e+05,0.256,5.7064e+05,0.013,0.181,5.7062e+05,0.01
